epoch,lr,train_loss,train_acc,test_loss,test_acc,spike_rate,avg_batch_infer_ms,params,model_size_mb,synapse_count_proxy,sop_proxy
1,0.001,0.3162586584617694,0.9437166666666666,0.12324152481481433,0.9611,0.026315445788718448,46.88874645087915,1212426,4.625038146972656,1211776,510214.81017712137
2,0.001,0.0509489134401083,0.9860333333333333,0.043395491533353925,0.9865,0.02611673005756579,19.348977558031866,1212426,4.625038146972656,1211776,506362.02691578947
3,0.001,0.0373063451141119,0.98985,0.04017517806300894,0.9874,0.027561806965796187,19.504677763656726,1212426,4.625038146972656,1211776,534379.7791645542
4,0.001,0.03254796380077799,0.9904666666666667,0.033641019655764104,0.9891,0.029430867084703948,19.662932740359366,1212426,4.625038146972656,1211776,570617.8942789474
5,0.001,0.027076386025485892,0.9919666666666667,0.030212165186554195,0.9902,0.029973608791789744,19.358623230570476,1212426,4.625038146972656,1211776,581140.7962764769
6,0.001,0.024089139811880888,0.99255,0.04203907998651266,0.9867,0.025975976824734827,19.52834258775545,1212426,4.625038146972656,1211776,503633.0446843179
7,0.001,0.022892862128435325,0.9929166666666667,0.038067078907042744,0.9872,0.032229855802312704,19.337195254673688,1212426,4.625038146972656,1211776,624885.8519152525
8,0.001,0.019444782626473655,0.9942,0.028011966713890432,0.9908,0.030108615305702875,19.555611158662206,1212426,4.625038146972656,1211776,583758.3587309346
9,0.001,0.017886297270903986,0.9945,0.02232372989470605,0.9928,0.030021538814950323,19.487098708182952,1212426,4.625038146972656,1211776,582070.0835044038
10,0.001,0.01627659009695053,0.9949166666666667,0.02484930604221299,0.9921,0.028212510646734024,19.77126570300588,1212426,4.625038146972656,1211776,546995.8928233082
11,0.001,0.015629987756426756,0.9953166666666666,0.025153304418968035,0.9913,0.030065121614023898,19.32162288104809,1212426,4.625038146972656,1211776,582915.0849432867
12,0.001,0.012568782103480771,0.9961833333333333,0.030320523038133977,0.9913,0.031359021769686496,19.46379173594185,1212426,4.625038146972656,1211776,608001.759423738
13,0.001,0.014021616993860031,0.9956333333333334,0.03167054495923221,0.9895,0.03453820310402121,19.315003877199146,1212426,4.625038146972656,1211776,669641.0496732545
14,0.001,0.012033509628754109,0.9963166666666666,0.03070604712711647,0.9905,0.028846517993504968,19.29044191831652,1212426,4.625038146972656,1211776,559288.2910095596
15,0.001,0.010909214889238744,0.9966,0.02790814566225745,0.9907,0.029847396060603517,19.420580242913733,1212426,4.625038146972656,1211776,578693.7313397422
16,0.001,0.01199773459509015,0.9960333333333333,0.02239392710707616,0.9927,0.02983516406459788,19.421850225027605,1212426,4.625038146972656,1211776,578456.5723126746
17,0.001,0.01020172257074155,0.99685,0.027726058415602894,0.9904,0.028648608267320085,19.54729512003781,1212426,4.625038146972656,1211776,555451.134907841
18,0.001,0.010142752855488409,0.9965833333333334,0.0414357904992532,0.9862,0.033925520850815655,19.29460213625733,1212426,4.625038146972656,1211776,657762.1112722879
19,0.001,0.008470043095232298,0.9973166666666666,0.0317030950400047,0.99,0.030082780559797934,19.441833778555637,1212426,4.625038146972656,1211776,583257.4639300752
20,0.001,0.00861936333371171,0.9971333333333333,0.032965004129277074,0.9881,0.03217632176842777,19.410645836799205,1212426,4.625038146972656,1211776,623847.9117961332
