epoch,lr,train_loss,train_ce_loss,train_kd_loss,train_acc,test_loss,test_acc,spike_rate,avg_batch_infer_ms,sop_proxy
1,0.0001,0.07239987091571093,0.062157910589749614,0.08264183130462964,0.9818666666666667,0.05469048473741859,0.9829,0.02878755375813977,11.230219689429186,558145.0678851772
2,0.0001,0.06409154740919669,0.05925538292552034,0.06892771200488011,0.98285,0.045600703722983596,0.9862,0.02816540724019871,11.502810558126232,546082.6323823845
3,0.0001,0.060931239011883735,0.05637433359871308,0.06548814431875945,0.9841166666666666,0.05036113654412329,0.984,0.028593838478031014,11.50712713741573,554389.2354488722
4,0.0001,0.05959692146231731,0.05564026457791527,0.06355357826550802,0.9846833333333334,0.049069936700165274,0.9846,0.028506601814245434,11.244257045969082,552697.8547209452
5,0.0001,0.05878356840660175,0.05539934958008429,0.06216778731197119,0.9849166666666667,0.04784727173307911,0.9853,0.029623210142404002,11.15336780477861,574347.1214963481
6,0.0001,0.05719075699647268,0.053784902550528445,0.06059661158223947,0.9851166666666666,0.055023702325671914,0.9832,0.02999697648487849,11.446565104897614,581593.8588310418
7,0.0001,0.05626457197268804,0.05330616481366257,0.05922297914922237,0.98515,0.04964480559518561,0.9858,0.029895167536587004,11.25983132203673,579619.9445890441
8,0.0001,0.05544017385194699,0.053057869684447846,0.05782247786174218,0.9854666666666667,0.04706600843779743,0.9854,0.0312513185167159,11.406669927060983,605913.5639505908
9,0.0001,0.05478290309160948,0.05221842827051878,0.05734737783074379,0.9859833333333333,0.04872241265401244,0.9855,0.029982215601084182,11.346626303093448,581307.6686755102
10,0.0001,0.05387173893054326,0.05200526725128293,0.055738210603098075,0.9859166666666667,0.04872528458004818,0.9862,0.029672234838631177,11.30676604095538,575297.6327010741
