layer_name,params,hessian_trace,trace_density,rank,assigned_bits
features.0,1728,54543490.003125,31564.519677734374,1,8
features.3,36864,1361086.632861328,36.92183791399002,2,8
features.7,73728,73926.93493652344,1.002698227763176,3,8
features.10,147456,4557.9024879455565,0.030910254502668974,4,8
features.14,294912,905.6753070831298,0.0030710018821991977,5,8
features.17,589824,121.66897251605988,0.0002062801318970742,6,8
features.20,589824,11.797157667204738,2.000114893121463e-05,7,8
features.24,1179648,2.279399525374174,1.9322709192692855e-06,8,4
classifier,5120,1.5604086518287659,0.0003047673148103058,9,4
features.27,2359296,0.21725171338766813,9.208327966803154e-08,10,4
features.37,2359296,0.008926055120537058,3.783355340125639e-09,11,4
features.34,2359296,0.008891933021368459,3.768892509192767e-09,12,4
features.30,2359296,-0.005989797483198345,-2.5388071200893593e-09,13,4
features.40,2359296,-0.03864530007122084,-1.638001339010486e-08,14,4
