layer_name,params,hessian_trace,trace_density,rank,state_cost_proxy,hessian_norm,state_cost_norm,state_aware_score,state_aware_rank,assigned_bits
features.0,1728,54543490.003125,31564.519677734374,1,1048576.0,1.0,1.0,1.0,1,8
features.3,36864,1361086.632861328,36.92183791399002,2,1048576.0,0.024954153699797105,1.0,0.26871561527484783,2,8
features.7,73728,73926.93493652344,1.002698227763176,3,524288.0,0.001355375956549313,0.5,0.12601653196741197,3,8
features.10,147456,4557.9024879455565,0.030910254502668974,4,524288.0,8.356455532428192e-05,0.5,0.12506267341649321,4,8
features.14,294912,905.6753070831298,0.0030710018821991977,5,262144.0,1.6604645339549054e-05,0.25,0.06251245348400467,5,8
features.17,589824,121.66897251605988,0.0002062801318970742,6,262144.0,2.2306781709254215e-06,0.25,0.06250167300862819,6,8
features.20,589824,11.797157667204738,2.000114893121463e-05,7,262144.0,2.1628901389567911e-07,0.25,0.06250016221676043,7,8
features.24,1179648,2.279399525374174,1.9322709192692855e-06,8,131072.0,4.1790496450512775e-08,0.125,0.03125003134287234,8,4
classifier,5120,1.5604086518287659,0.0003047673148103058,9,160.0,2.8608522332167677e-08,0.000152587890625,3.8168429047999126e-05,14,4
features.27,2359296,0.21725171338766813,9.208327966803154e-08,10,131072.0,3.983091536225881e-09,0.125,0.03125000298731865,9,4
features.37,2359296,0.008926055120537058,3.783355340125639e-09,11,32768.0,1.6365023800320904e-10,0.03125,0.007812500122737678,12,4
features.34,2359296,0.008891933021368459,3.768892509192767e-09,12,32768.0,1.6302464365333071e-10,0.03125,0.007812500122268484,13,4
features.30,2359296,-0.005989797483198345,-2.5388071200893593e-09,13,131072.0,1.0981690909135385e-10,0.125,0.03125000008236268,10,4
features.40,2359296,-0.03864530007122084,-1.638001339010486e-08,14,32768.0,7.085226865572172e-10,0.03125,0.007812500531392015,11,4
