layer_name,assigned_bits,params,hessian_trace,trace_density,rank,state_cost_proxy,hessian_norm,state_cost_norm,state_aware_score,state_aware_rank,state_aware_alpha
features.0,8,1728,14190890.87109375,8212.321105957031,1,1048576.0,1.0,1.0,1.0,1,0.75
features.3,8,36864,62045.07275390625,1.6830803155899048,2,1048576.0,0.0043721760189340516,1.0,0.25327913201420055,2,0.75
features.7,8,73728,4038.913284301758,0.054781267419457436,3,524288.0,0.0002846130888462299,0.5,0.12521345981663468,3,0.75
features.10,8,147456,2661.9418659210205,0.01805244863498956,4,524288.0,0.00018758102575105307,0.5,0.12514068576931328,4,0.75
features.14,8,294912,476.5765628814697,0.0016159958322532475,5,262144.0,3.358327304540381e-05,0.25,0.06252518745478405,5,0.75
features.17,8,589824,44.214168548583984,7.496163016185164e-05,6,262144.0,3.1156725078230564e-06,0.25,0.06250233675438087,6,0.75
features.20,8,589824,15.935907125473022,2.701807170524262e-05,7,262144.0,1.1229673506921117e-06,0.25,0.06250084222551303,7,0.75
features.24,4,1179648,1.6110106157138944,1.3656706201459201e-06,8,131072.0,1.135242762662248e-07,0.125,0.0312500851432072,8,0.75
features.27,4,2359296,0.3754521310329437,1.5913735751382774e-07,10,131072.0,2.645726293320485e-08,0.125,0.0312500198429472,9,0.75
features.30,4,2359296,-0.010208307299762964,-4.326844660340612e-09,11,131072.0,7.193563386888457e-10,0.125,0.03125000053951726,10,0.75
features.40,4,2359296,-0.2052192399278283,-8.698325260070305e-08,14,32768.0,1.4461335922598863e-08,0.03125,0.007812510846001942,11,0.75
features.37,4,2359296,-0.02506853104569018,-1.0625428537025527e-08,13,32768.0,1.766522713295874e-09,0.03125,0.007812501324892035,12,0.75
features.34,4,2359296,-0.013815913000144064,-5.8559472826402725e-09,12,32768.0,9.73576157102758e-10,0.03125,0.007812500730182118,13,0.75
classifier,4,5120,1.2750810384750366,0.0002490392653271556,9,160.0,8.985207835487787e-08,0.000152587890625,3.821436171501616e-05,14,0.75
